model_a,model_b,metric,mean_diff_a_minus_b,ci_lo,ci_hi,significant
blend_lr_dixon_coles,dixon_coles,brier,-0.013758545359597411,-0.019757376722310847,-0.007763576135565373,True
logistic_regression,bookmaker_closing,brier,0.01423830352173595,0.007752820699900908,0.0205878598501259,True
logistic_regression,bookmaker_baseline,brier,0.009804120227195434,0.003664365148361225,0.01607069325844877,True
logistic_regression,blend_lr_dixon_coles,brier,-0.001076838211479031,-0.004941627533798605,0.0028574632864330953,False
logistic_regression,xgboost,brier,-0.005610487158736495,-0.010842860457218358,-0.00042883123365951195,True
logistic_regression,dixon_coles,brier,-0.014835383571076442,-0.02464313072710449,-0.004810669324042214,True
xgboost,bookmaker_closing,brier,0.019848790680472447,0.013152469318987225,0.026454419974953163,True
xgboost,bookmaker_baseline,brier,0.015414607385931929,0.009127686665919536,0.02171692388286136,True
xgboost,blend_lr_dixon_coles,brier,0.004533648947257465,-0.0009696918537044092,0.009909768556357865,False
xgboost,logistic_regression,brier,0.005610487158736495,0.0004288312336595112,0.010842860457218358,True
xgboost,dixon_coles,brier,-0.009224896412339948,-0.018902784594184364,0.00013317287519954332,False
dixon_coles,bookmaker_closing,brier,0.029073687092812394,0.019854518109462673,0.03842403890328646,True
dixon_coles,bookmaker_baseline,brier,0.024639503798271876,0.015887969242429027,0.03361847491202778,True
dixon_coles,blend_lr_dixon_coles,brier,0.013758545359597411,0.007763576135565372,0.019757376722310843,True
dixon_coles,logistic_regression,brier,0.014835383571076442,0.004810669324042212,0.024643130727104473,True
dixon_coles,xgboost,brier,0.009224896412339948,-0.00013317287519955655,0.01890278459418436,False
bookmaker_closing,bookmaker_baseline,rps,-0.0018355363796076927,-0.0030984637183264037,-0.0005849040989845229,True
bookmaker_closing,blend_lr_dixon_coles,rps,-0.007061573856160483,-0.009744367455242427,-0.004388360250307469,True
bookmaker_closing,logistic_regression,rps,-0.006298266039522885,-0.009238646891798527,-0.003367554423365221,True
bookmaker_closing,xgboost,rps,-0.00806432458957735,-0.011089840571952612,-0.0049961413287918765,True
bookmaker_closing,dixon_coles,rps,-0.013951297400823483,-0.018222043491736718,-0.00961892872719474,True
bookmaker_baseline,bookmaker_closing,rps,0.0018355363796076927,0.0005849040989845227,0.003098463718326403,True
bookmaker_baseline,blend_lr_dixon_coles,rps,-0.00522603747655279,-0.00771742180784657,-0.0026997508261298086,True
bookmaker_baseline,logistic_regression,rps,-0.004462729659915193,-0.0072684142544149465,-0.001646646019396955,True
bookmaker_baseline,xgboost,rps,-0.006228788209969657,-0.009092987229732298,-0.0033249504846589984,True
bookmaker_baseline,dixon_coles,rps,-0.01211576102121579,-0.01626655573084084,-0.008086317434385829,True
blend_lr_dixon_coles,bookmaker_closing,rps,0.007061573856160483,0.004388360250307468,0.009744367455242424,True
blend_lr_dixon_coles,bookmaker_baseline,rps,0.00522603747655279,0.002699750826129807,0.0077174218078465695,True
blend_lr_dixon_coles,logistic_regression,rps,0.0007633078166375966,-0.0010831611232818713,0.0025902989794916323,False
blend_lr_dixon_coles,xgboost,rps,-0.0010027507334168689,-0.0033294543610656877,0.0014055399546331205,False
blend_lr_dixon_coles,dixon_coles,rps,-0.006889723544663002,-0.009715186029390062,-0.004079641276353438,True
logistic_regression,bookmaker_closing,rps,0.006298266039522885,0.0033675544233652205,0.009238646891798524,True
logistic_regression,bookmaker_baseline,rps,0.004462729659915193,0.001646646019396953,0.0072684142544149465,True
logistic_regression,blend_lr_dixon_coles,rps,-0.0007633078166375966,-0.0025902989794916328,0.0010831611232818685,False
logistic_regression,xgboost,rps,-0.0017660585500544653,-0.003997985166493624,0.0004342727531674332,False
logistic_regression,dixon_coles,rps,-0.007653031361300599,-0.012304887555757043,-0.0030019127093422675,True
xgboost,bookmaker_closing,rps,0.00806432458957735,0.004996141328791875,0.011089840571952612,True
xgboost,bookmaker_baseline,rps,0.006228788209969657,0.003324950484658998,0.009092987229732296,True
xgboost,blend_lr_dixon_coles,rps,0.0010027507334168689,-0.0014055399546331218,0.0033294543610656873,False
xgboost,logistic_regression,rps,0.0017660585500544653,-0.0004342727531674338,0.0039979851664936235,False
xgboost,dixon_coles,rps,-0.0058869728112461335,-0.010400512462801256,-0.0015951386738259081,True
dixon_coles,bookmaker_closing,rps,0.013951297400823483,0.00961892872719474,0.01822204349173671,True
dixon_coles,bookmaker_baseline,rps,0.01211576102121579,0.008086317434385829,0.01626655573084084,True
dixon_coles,blend_lr_dixon_coles,rps,0.006889723544663002,0.004079641276353437,0.009715186029390057,True
dixon_coles,logistic_regression,rps,0.007653031361300599,0.0030019127093422657,0.012304887555757031,True
dixon_coles,xgboost,rps,0.0058869728112461335,0.0015951386738259053,0.010400512462801255,True
